App Name,App ID,Final,Running Result,Install Result,Remarks,App Category,Developer,App Version,Updated Date,Crash log,Camera_p
Spark Driver,com.walmart.sparkdriver,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Screwdom 3D,com.ig.screwdom,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Fruit Merge: Juicy Drop Game,com.melon.drop.fruit.merge.master,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Fandango at Home,air.com.vudu.air.DownloaderTablet,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Solitaire: Classic Card Game,com.newpubco.klondikesolitaire,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Spades - Classic Card Game,com.fiogonia.spades,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
UKG Pro,com.ukg.oneapp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bible Word Puzzle - Word Games,bible.wordgame.words.connect.crossword.cookies,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nest,com.nest.android,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Substack,com.substack.app,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Tower War - Tactical Conquest,games.vaveda.militaryoverturn,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Math Crossword ÃÂ Number puzzle,com.zm.crossmath,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GoodRx: Prescription Coupons,com.goodrx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KFC US - Ordering App,com.kfc.us.mobile,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hallow: Prayer & Meditation,app.hallow.android,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pizza Ready!,io.supercent.pizzaidle,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
OnePay ÃÂ Mobile Banking,com.onefinance.one,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cryptogram - Word Brain Puzzle,com.crypt.gram.puzz,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Solitaire:Classic Deluxe Cards,com.solitaire.cards.deluxe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Offline Games - No Wifi Games,com.JindoBlu.OfflineGames,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Find Hidden Objects - Spot It!,com.yolo.hiddenobjects,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Animals & Coins Adventure Game,com.innplaylabs.animalkingdomraid,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Solitaire Master - Card Game,com.intensedev.classicsolitaire.gp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LG ThinQ,com.lgeha.nuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Mahjong Tile Dynasty,com.tripledot.tile.dynasty,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Doomsday: Last Survivors,com.igg.android.doomsdaylastsurvivors,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dark War Survival,com.readygo.dark.gp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PDF Reader - PDF Viewer,com.pdfreader.free.viewer.documentreader,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PS Remote Play,com.playstation.remoteplay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Spades (Classic Card Game),com.staplegames.spades,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wordscapes Solitaire,com.peoplefun.wordsolitaire,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Solitaire Verse,com.gimica.solitaireverse,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BALA AI: Character AI Chat App,com.bala.ai.android,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Impulse - Brain Training Games,gen.tech.impulse.android,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
My Talking Angela 2,com.outfit7.mytalkingangela2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Tile Collector,com.staplegames.tilecollector,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Capital One Shopping,com.wikibuy.prod.main,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Plenty of Fish Dating App,com.pof.android,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
