Issue Originator,Registered Date,Source of Issue,Play Store App Category,PLM Folder,Main Issue ID,3rd Party Issue ID,Issue Description,Application,Developer,App ID,App ver.,Model,Reproducible on Ref. Model,Issue Type,Issue Status
Hong,9/8/2022,App Consistency Test,Shopping,3rd Party App Issue Management,,P220909-01213,App becomes unresponsive when using MW while watching a live video.,Whatnot: Live Video Shopping,Whatnot Inc.,com.whatnot_mobile,,F936U (T OS);#F936U;#F926U;#F721U (T OS);#F721U;#F711U,True,Multi-Window,Closed - Not Fixed
Hong,4/24/2023,App Update Test,Shopping,3rd Party App Issue Management,,P230425-01357,App stutters while scrolling (not smooth),Shop: All your favorite brands,Shopify Inc.,com.shopify.arrive,2.103.1,S918U;#F936U;#F926U;#S908U;#A536V;#A326U;#Pixel (T OS);#All Models,True,Function,Closed - Not Fixed
Hong,2/25/2022,App Consistency Test,Shopping,3rd Party App Issue Management,P220226-00286,,Rotating DUT may cause app to become unresponsive and eventually sign user out. Also occurs with resize in MW and Flex.,Shop: All your favorite brands,Shopify Inc.,com.shopify.arrive,,F711U;#F926U;#S906U;#X808U;#G998U,True,Exception/Crash/Force Close,Closed - Not Fixed
Yeji,12/9/2024,App Update Test,FINANCE,3rd Party App Issue Management,P241210-01722,P241224-01087,Unable to upload profile picture by taking photo,Venmo,Venmo,com.venmo,10.53.0,"SM-S938U, S928U, S921U",False,Function,Open
Edwin,7/24/2024,[MR]PC 3rd party App-Web-Game Issue Management,Finance,XE550XGAA,P240725-00061,,App sttuters when selecting athe venmo icon & Camera doesn't rotate properly.,Venmo,venmo,com.venmo,10.45.1,XE550XGA,False,Function,Open
Edwin,4/2/2025,App Update Test,Music and Audio,3rd Party App Issue Management,P250403-00961,P250404-06561,App overlaps in Flex Mode.,Spotify: Music and Podcasts,Spotify AB,com.spotify.music,9.0.32.624,"F946U;#F956U, F741U",False,Flex Mode,Open
Hong,8/31/2023,OS Up,Entertainment,3rd Party App Issue Management,P230901-01235,P230905-00105,App does not appear in Media Output panel,The Roku App (Official),"Roku, Inc. & its affiliates",com.roku.remote,9.6.1.2212118,S918U (U OS);#S918U (T OS);#S916U (U OS),True,Function,Closed - Not Fixed
Victoria,1/19/2023,App Consistency Test,Entertainment,Project Main Folder,P230120-01353 ,,App restarts video streaming after changing DUT dark mode settings,The Roku App (Official),Roku Inc.,com.roku.remote,,S918U;#S908U (T OS);#S908U;#Pixel (T OS),True,Function,Open
Hong,12/12/2022,App Consistency Test,Entertainment,3rd Party App Issue Management,,P221213-01068,Changing DUT dark mode in PIP causes content to stop,The Roku App (Official),Roku Inc.,com.roku.remote,,S918U;#S908U (T OS);#S908U;#Pixel (T OS),True,Function,Closed - Not Fixed
Victoria,11/23/2022,App Consistency Test,Entertainment,3rd Party App Issue Management,,P221124-00693,Live TV does not resume after being interrupted by another app's audio,Roku - Official Remote Control,Roku Inc.,com.roku.remote,8.9.0.1419883,S918U;#S908U;#Pixel (T OS);#S908U (T OS),True,Function,Closed - Not Fixed
Hong,10/7/2022,App Consistency Test,Entertainment,3rd Party App Issue Management,,P221008-00359,Changing DUT dark mode setting causes persistent UI in Account tab,Roku - Official Remote Control,,com.roku.remote,,S918U;#F936U (T OS);#F936U;#S908U (T OS);#S908U;#Pixel (T OS);#All Models,True,Full screen Layout,Closed - Not Fixed
Hong,10/7/2022,App Consistency Test,Entertainment,3rd Party App Issue Management,,P221008-00220,Bluetooth audio controls do not work as expected,Roku - Official Remote Control,,com.roku.remote,,S918U;#F936U (T OS);#F936U;#S908U (T OS);#S908U;#Pixel (T OS);#All Models,True,Function,Closed - Not Fixed
Hong,10/7/2022,App Consistency Test,Entertainment,3rd Party App Issue Management,,P221008-00138,Closing video after using another app while in PIP causes Roku app to return to other app,Roku - Official Remote Control,,com.roku.remote,,S918U;#F936U (T OS);#F936U;#S908U (T OS);#S908U;#Pixel (T OS);#All Models,True,Function,Closed - Not Fixed
Jay,11/18/2021,App Consistency Test,ENTERTAINMENT,[3rd Party]App Compatibility Test_Local,P211119-00440,,Layout overlapes after changing screen orientation,Roku - Official Remote Control,,com.roku.remote,,T738;#X808U,True,Function,Closed - Not Fixed
Anna,4/17/2025,App Consistency Test,Entertainment,SM-F966U_NA_VZW, P250418-01204,,HID(Hole in Display) area is always on.,Pluto TV: Watch Free Movies/TV,"Pluto, Inc. ",tv.pluto.android,5.54.0,F966U,False,Function,Open
Edwin,3/6/2025,VST Testing,Entretaiment,SM-I610_NA_XAR,P250307-00816,,App shows a barcode lines on the video edges.,Pluto TV: Watch Free Movies/TV,"Pluto, Inc.",tv.pluto.android,5.52.0,SM-I610,False,Display,Open
Anna,10/9/2024,App Consistency Test,Entertainment,3rd Party App Issue Management,P241010-00795,P241011-00195,Pause button is not working in PIP mode.,Pluto TV: Watch Movies & TV ,"Pluto, Inc.",tv.pluto.android,5.47.1 ,S928U,False,Function,Closed - Not Fixed
Anna,7/24/2024,Chromebook,Entertainment,[MR]PC 3rd party App-Web-Game Issue Management,P240725-03493,P240809-00016,Sign up page shows blank page.,Pluto TV: Watch Movies & TV,"Pluto, Inc.",tv.pluto.android,5.44.0,F946U;#XE550XGAA,False,Full screen Layout,Open
Hong,8/31/2023,OS Up,Entertainment,3rd Party App Issue Management,P230901-00925,P230905-00102,App does not appear in Media Output panel,Pluto TV - Live TV and Movies,"Pluto, Inc.",tv.pluto.android,5.31.1,S918U (U OS);#S918U (T OS);#S916U (U OS),True,Function,Closed - Not Fixed
Hong,3/3/2023,Exploratory Test,Entertainment,3rd Party App Issue Management,,P230304-01064,No play/pause buttons in Flex mode or MW.,Pluto TV - Live TV and Movies,"Pluto, Inc.",tv.pluto.android,5.24.1,F721U;#F711U,True,Flex mode,Closed - Not Fixed
Victoria,1/19/2023,App Consistency Test,Entertainment,3rd Party App Issue Management,P230120-01383 ,P230124-00108,App stops video streaming after changing DUT dark mode settings,Pluto TV - Live TV and Movies,"Pluto, Inc.",tv.pluto.android,5.22.1,S918U;#S908U;#Pixel (T OS);#S908U (T OS),True,Function,Closed - Not Fixed
Hong,12/12/2022,App Consistency Test,Entertainment,3rd Party App Issue Management,,P221213-01581,Bluetooth audio controls do not work as expected,Pluto TV - Live TV and Movies,"Pluto, Inc.",tv.pluto.android,,S918U;#S908U (T OS);#S908U;#Pixel (T OS),True,Function,Closed - Not Fixed
Hong,1/26/2024,App Consistency Test,Social,3rd Party App Issue Management,,P240126-05110,Denying Photos and Pictures permission then trying to add pictures to a post causes strange behavior,X,X Corp.,com.twitter.android,10.25.0-release.0,S918U (U OS);#S918U (T OS);#Pixel (U OS);#All Models,True,Function,Open
Anna,10/3/2024,App Update Test,Entertainment,3rd Party App Issue Management,P241004-00564,P241005-01390,"Menu button disappears when resizing due to Multi-Window, continuity, flex mode, etc.",Rewarded Play: Earn Gift Cards,"Influence Mobile, Inc.",com.affinity.rewarded_play,12.11.3 ,"F946U(U OS), F731U(U OS), A356(U OS)",True,Function,Closed - Not Fixed
Karla,4/5/2021,App Consistency Test,Entertainment,[3rd Party]App Compatibility Test_Local,P210406-00446,,The right side of the screen displays in white color in main screen after rotating the device in multiwindow view.,Rewarded Play: Earn Free Gift Cards & Play Games!,,com.affinity.rewarded_play,,F916U N-1,True,Multi-Window,Closed - Not Fixed
Karla,4/5/2021,App Consistency Test,Entertainment,[3rd Party]App Compatibility Test_Local,P210406-00434,,The right side of the screen displays in white color in main screen,Rewarded Play: Earn Free Gift Cards & Play Games!,,com.affinity.rewarded_play,,F916U N-1,True,Continuity,Closed - Not Fixed
