App Name,App ID,App Version,Install Result,Launch Result,Comment
Girl Rescue: Dragon Out!,com.save.princess.girl.dragon.out.and ,NA ,FAIL ,NA ,Installation Failed
Spider Fighter 3: Action Game,com.starplay.spider.fighter.openworld ,NA ,FAIL ,NA ,Installation Failed
Dot Link - Connect the Dots,com.playvalve.connect.dots ,NA ,FAIL ,NA ,Installation Failed
Empower: Advance & Credit,finance.empower ,NA ,FAIL ,NA ,Installation Failed
Crossword Puzzle Explorer,in.daily_puzzle.crossword ,NA ,FAIL ,NA ,Installation Failed
Solitaire Delight,com.solitairedelight.joy.game ,NA ,FAIL ,NA ,Installation Failed
Royal Caribbean International,com.rccl.royalcaribbean ,NA ,FAIL ,NA ,Installation Failed
Rec Room - Play with friends!,com.AgainstGravity.RecRoom ,NA ,FAIL ,NA ,Installation Failed
Woody Sort: Ball Sort Puzzle,com.unicostudio.balltubes ,1.1.50 ,PASS ,PASS ,nan
Balloon Triple Match: Match 3D,com.balloon.triple.match.master3d.game ,1.6.0.2 ,PASS ,PASS ,nan
PDF Reader  PDF Viewer,com.ezt.pdfreader.pdfviewer ,2.0.0 ,PASS ,PASS ,nan
testerup - earn money,de.empfohlen ,1.9.997 ,PASS ,PASS ,nan
Gold Rush: Frozen Adventures,io.whitesharx.moon ,0.18.7 ,PASS ,PASS ,nan
Cake Sort - Color Puzzle Game,com.falcon.dm.water.cake.sort.puzzle ,4.1.0 ,PASS ,PASS ,nan
Race Master 3D: Car Racing,com.easygames.race ,3.6.16 ,PASS ,PASS ,nan
Water Sort Puz - Color Game,com.playvalve.watersort ,2.4.0 ,PASS ,PASS ,nan
Word Roll,in.playsimple.wordbingo ,1.262,PASS ,PASS ,nan
Google Opinion Rewards,com.google.android.apps.paidtasks ,2025022400,PASS ,PASS ,nan
BetMGM - Online Sports Betting,com.playmgm.nj.sports ,25.02.26 ,PASS ,PASS ,nan
Wordscapes Solitaire,com.peoplefun.wordsolitaire ,NA ,FAIL ,NA ,Not compatible with this version
Idle Mine Dig: Drill & Collect,tr.com.apps.drill.and.collect ,NA ,FAIL ,NA ,Not compatible with this version
Find It - Hidden Object Games,hidden.objects.find.it.out.seek.puzzle.games.free ,2.13.0 ,PASS ,PASS ,nan
Roku Smart Home,com.roku.rokuhome ,3.2.2.441 ,PASS ,PASS ,nan
Collect Em All! Clear the Dots,com.tarboosh.collectemall ,2.31.0 ,PASS ,PASS ,nan
I Am Security,com.NewFolderGames.IAmSecurirty ,1.0.9 ,PASS ,PASS ,nan
Build A Queen,com.Polystation.BuildABabe ,5.8,PASS ,PASS ,nan
Connect Word: Association Game,com.hitappsgames.connectwords ,1.5.2 ,PASS ,PASS ,nan
KashKick: Get paid to have fun,com.kashkick.kashkickapp ,1.1.19 ,PASS ,PASS ,nan
Glow Fashion Idol,com.crazylabs.fashion.squad ,0.5.1 ,PASS ,PASS ,nan
FlickReels - Short Drama & TV,com.zyhwplatform.shortplay ,1.9.2 ,PASS ,PASS ,nan
Document Reader & PDF Editor,all.documentreader.filereader.office.viewer ,1.2.2.57 ,PASS ,PASS ,nan
Carnival HUB,com.carnival.android ,3.27.1 ,PASS ,PASS ,nan
Movies Anywhere,com.moviesanywhere.goo ,1.50.3 ,PASS ,PASS ,nan
Boost Mobile,com.dish.wireless.boostone ,3.0.18 ,PASS ,PASS ,nan
Google Pay: Save and Pay,com.google.android.apps.nbu.paisa.user ,NA ,FAIL ,NA ,App not available in your country
Blood Strike - FPS for all,com.netease.newspike ,1.003.650003 ,PASS ,PASS ,nan
Drive Zone: Car Simulator Game,com.drivezone.car.race.game ,1.3.0 ,PASS ,PASS ,nan
PBS: Watch Live TV Shows,com.pbs.video ,5.18.1 ,PASS ,PASS ,nan
Teladoc Health,com.teladoc.members ,5.16.1 ,PASS ,PASS ,nan
Spectrum News: Local Stories,com.twcable.twcnews ,2.38,PASS ,PASS ,nan
Block Jam 3D,com.partyup.blockjam ,2.50.0 ,PASS ,PASS ,nan
Honkai: Star Rail,com.HoYoverse.hkrpgoversea ,3.1.0 ,PASS ,PASS ,nan
School Party Craft,com.candyroom.clubcraft ,1.7.987 ,PASS ,PASS ,nan
That's My Seat - Logic Puzzle,com.game.thatsmyseat ,1.4.0 ,PASS ,PASS ,nan
Cleo AI: Cash advance & Credit,com.meetcleo.cleo ,1.359.0 ,PASS ,PASS ,nan
Triple Tile: Match Puzzle Game,com.tripledot.triple.tile.match.pair.game.three.master.object ,2.64.00 ,PASS ,PASS ,nan
Kick: Live Streaming,com.kick.mobile ,NA ,FAIL ,NA ,Not compatible with this version
"Linky AI: Chat, Play, Connect",com.aigc.ushow.ichat ,2.12.2 ,PASS ,PASS ,nan
Jackpot Master Slots - Casino,com.jmsgame.jackpotmastercasino ,2.0.65 ,PASS ,PASS ,nan
SeatGeek  Tickets to Events,com.seatgeek.android ,2025.03.121499 ,PASS ,PASS ,nan
PBS KIDS Games App,org.pbskids.gamesapp ,5.3.16 ,PASS ,PASS ,nan
Merge Hexa - Number Puzzle,com.inspiredsquare.jupiter1 ,271,PASS ,PASS ,nan
