App Name,App ID,App Category,Developer,App Version,Updated Date,TargetSdk,Permissions
Yahoo Sports: Scores & News,com.yahoo.mobile.client.android.sportacular,SPORTS,Yahoo,11.8.1,"Apr 21, 2025",34,"Identity,Contacts,Location,Phone,Photos/Media/Files,Storage,Camera,Wi-Fi connection information,Device ID & call information,Other,Uncategorized"
Android Auto,com.google.android.projection.gearhead,AUTO_AND_VEHICLES,Google LLC,1.2.551000-stub,"Apr 25, 2025",36,"Device & app history,Calendar,Contacts,Location,SMS,Phone,Microphone,Wi-Fi connection information,Device ID & call information,Other,Uncategorized"
FreeStyle Libre 3  US,com.freestylelibre3.app.us,MEDICAL,Abbott Diabetes Care Inc.,3.6.2,"Dec 2, 2024",34,"Photos/Media/Files,Storage,Other,Uncategorized"
"Notes Launcher: Notepad, To-do",com.notes.todolist.notebook.checklist.notepad.android,PRODUCTIVITY,AtomApplications,2.2.1,"Apr 23, 2025",35,"Location,Other,Uncategorized"
Canvas Student,com.instructure.candroid,EDUCATION,Instructure,7.11.0,"Apr 7, 2025",34,"Identity,Contacts,Photos/Media/Files,Storage,Camera,Microphone,Other,Uncategorized"
Chewy: Pet Shopping & Delivery,com.chewy.android,SHOPPING,"Chewy, Inc.",25.15.0,"Apr 22, 2025",35,"Photos/Media/Files,Storage,Camera,Microphone,Wi-Fi connection information,Other,Uncategorized"
Remind: School Communication,com.remind101,EDUCATION,Remind101,15.6.4,"Apr 8, 2025",34,"Identity,Contacts,Phone,Photos/Media/Files,Storage,Camera,Microphone,Device ID & call information,Other,Uncategorized"
Vivint,com.vivint.vivintsky,HOUSE_AND_HOME,Vivint Home,25.4.400,"Apr 18, 2025",34,"Identity,Contacts,Location,Phone,Photos/Media/Files,Storage,Camera,Microphone,Wi-Fi connection information,Device ID & call information,Other,Uncategorized"
Yahoo News: Daily News For You,com.yahoo.mobile.client.android.yahoo,NEWS_AND_MAGAZINES,Yahoo,71.0,"Apr 23, 2025",35,"Location,Photos/Media/Files,Storage,Wi-Fi connection information,Other,Uncategorized"
CarGurus: Used & New Cars,com.cargurus.mobileApp,AUTO_AND_VEHICLES,"CarGurus, Inc",4.15,"Apr 18, 2025",34,"Location,Phone,Photos/Media/Files,Storage,Camera,Wi-Fi connection information,Other,Uncategorized"
